"ADDR_ENG","MEMO_NO","REGISTRY_CODE","DELIVERY_DATE","v_region_id","v_str_region","v_str_mjdist","v_mjdist_code","v_str_dist","v_dist_code","v_str_lot_full","v_str_lot_ext_full","v_str_dd_full","v_str_estate","v_est_id","v_str_phase","v_phase_id","v_str_street_full","v_str_bldg_full","v_bldg_id","v_str_floor_full","v_str_floor_net","v_str_unit_full","v_str_unit_net","unit_id","v_has_carpark","v_has_roof","map_status","unparse_namestr","unit_num"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241116","SK","1996-01-0812.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241131","SK","1996-01-0912.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"ADDRESS NOT YET KNOWN","241386","SK","1996-01-1512.00.00","","","","","","","","","","","","","","","","","","","","","","0","0","No Estate Info","ADDRESS NOT YET KNOWN","0"
"SECOND FLOOR INCLUDING THE ROOF THEREABOVE OF THE BUILDING ERECTED THEREON","241390","SK","1996-01-1512.00.00","","","","","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," INCLUDING THE ROOF THEREABOVE OF ERECTED THEREON","0"
"2ND FLOOR AND ROOF OF AND IN THE BULIDING ERECTED THEREON, SAI KUNG, N.T.","241395","SK","1996-01-1512.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","","","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF AND IN THE BULIDING ERECTED THEREON  ","0"
"ALL THAT THE 2ND FLOOR TOGETHER WITH MAIN ROOF OF THE BUILDING","241406","SK","1996-01-1612.00.00","","","","","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info","ALL THAT THE  TOGETHER WITH MAIN ROOF OF","0"
"ALL THAT 1ST FLOOR OF THE BUILDING","241407","SK","1996-01-1612.00.00","","","","","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info","ALL THAT  OF","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","240936","SK","1996-01-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF NO. 10D HOI PONG STREET, SAI KUNG, N.T.","240943","SK","1996-01-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","HOI PONG STREET","E000009526","","","NO. 10D HOI PONG STREET","","","GROUND FLOOR","G","","","","0","0","No Units"," OF ","0"
"GROUND FLOOR OF NO. 10D HOI PONG STREET, SAI KUNG, N.T.","240944","SK","1996-01-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","HOI PONG STREET","E000009526","","","NO. 10D HOI PONG STREET","","","GROUND FLOOR","G","","","","0","0","No Units"," OF ","0"
"1ST FLOOR OF CLEARWATER BAY, SAI KUNG, N.T.","240946","SK","1996-01-0312.00.00","30","N.T.","SAI KUNG","SK"," CLEAR WATER BAY","K-SK / CWB","","","","","","","","","","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF CLEARWATER BAY  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","240949","SK","1996-01-0312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241465","SK","1996-01-1712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241487","SK","1996-01-1712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"HOUSE NO. 2 OF FAIRWAY VISTA, SAI KUNG, N.T.","240960","SK","1996-01-0312.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","FAIRWAY VISTA","E11199","","","","HOUSE 2 (DD241L 231)","B000067871","","","","","U001866075","0","0","Full Mapped - Bldg","OF   ","1"
"1ST FLOOR OF THE BUILDING THEREON","240965","SK","1996-01-0312.00.00","","","","","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF THEREON","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON","241184","SK","1996-01-1012.00.00","","","","","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241201","SK","1996-01-1012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"G/F. 1ST FLOOR, 2ND FLOOR & ROOF OF THE BUILDING ERECTED THEREON","241430","SK","1996-01-1612.00.00","","","","","","","","","","","","","","1ST FLOOR, "," THE BUILDING","","G/F","G/F","","","","0","1","No Estate Info",".2ND FLOOR & ROOF OF ERECTED THEREON","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","243335","SK","1996-03-1812.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR AND GARDEN OF BLOCK 5 AND CAR PARKING SPACE NO. 3 KAMBRIDGE GARDEN, RAZOR HILL NO. 1 RAZOR HILL ROAD, SAI KUNG, N.T.","243831","SK","1996-04-0112.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","KAMBRIDGE GARDEN","E04802","","","NO. 1 RAZOR HILL ROAD","BLOCK 5","B000036904","GROUND FLOOR","G","","","U001696384","0","0","Full Mapped - Floor"," AND GARDEN OF  AND CAR PARKING SPACE NO. 3  RAZOR HILL   ","1"
"BLOCK D1 AND CAR PARKING SPACES NOS. 58 AND 59 OF FULLWAY GARDEN, SAI KUNG, N.T.","243839","SK","1996-04-0112.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","FULLWAY GARDEN","E01286","","","NOS. 58 AND FULLWAY GARDEN","BLOCK D1","B000025893","","","","","U001693933","0","0","Full Mapped - Bldg"," AND CAR PARKING SPACES 59 OF   ","1"
"UNIT A ON 2ND AND 3RD FLOORS OF BLOCK 8 AND CAR PARKING SPACE NO. 14 OF CASA BEELA, SAI KUNG, N.T.","243840","SK","1996-04-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","2ND AND S OF AND CAR PARKING SPACE NO. ","BLOCK 8 ","","3RD FLOOR","3","UNIT A","A","","0","0","No Estate Info"," ON14 OF CASA BEELA  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","243841","SK","1996-04-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","243842","SK","1996-04-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"HOUSE NO. C4 AND CAR PARKING SPACE AND GARDEN AREA OF FLAMINGO GARDENS, SAI KUNG, N.T.","243849","SK","1996-04-0212.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","FLAMINGO GARDENS","E00189","","","","HOUSE C4","B000036316","","","","","U001691854","0","0","Full Mapped - Bldg","AND CAR PARKING SPACE AND GARDEN AREA OF   ","1"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","243880","SK","1996-04-0312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR, HOUSE 2, YEE HONG VILLA, SAI KUNG, N.T.","243694","SK","1996-03-2812.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","YEE HONG VILLA","E01064","","","","HOUSE 2","B000075104","1ST FLOOR","1","","","U002027581","0","0","Full Mapped - Floor","    ","1"
"PRIVATE OPEN SPACE NO. 8, YEE HONG VILLA, SAI KUNG, N.T.","243695","SK","1996-03-2812.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","YEE HONG VILLA","E01064","","","NO. 8 YEE HONG VILLA","","","","","","","","0","0","Multi - Est","PRIVATE OPEN SPACE ","50"
"HOUSE NO. 8 AND CAR PARKING SPACE NOS. 37 AND 38, SILVER STRAND LODGE SILVERSTRAND, CLEARWATER BAY, SAI KUNG, N.T.","243854","SK","1996-04-0212.00.00","30","N.T.","SAI KUNG","SK"," CLEAR WATER BAY","K-SK / CWB","","","","SILVER STRAND LODGE","E01059","","","NOS. 37 AND SILVER STRAND LODGE","HOUSE 8","B000037918","","","","","U001704420","0","0","Full Mapped - Bldg","AND CAR PARKING SPACE 38  SILVERSTRAND CLEARWATER BAY  ","1"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","243858","SK","1996-04-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF BLOCK 2 OF GOODVIEW GARDEN, 70 HUNG UK, MANG KUNG UK, HANG HAU, SAI KUNG, N.T.","243874","SK","1996-04-0212.00.00","30","N.T.","SAI KUNG","SK","HANG HAU","K-HANG H","","","","GOODVIEW GARDEN","E000006807","","","70 HUNG UK MANG KUNG UK HANG HAU GOODVIEW GARDEN","BLOCK 2 ","","GROUND FLOOR","G","","","","0","0","No Units"," OF OF ","0"
"ALL THAT GROUND FLOOR OF THE BUILDING ERECTED THEREON","243916","SK","1996-04-0912.00.00","","","","","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info","ALL THAT  OF ERECTED THEREON","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244037","SK","1996-04-1212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244091","SK","1996-04-1512.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND THE ROOF THEREOVER OF BLOCK A OF ROYAL GARDEN, NO. 26A WO MEI VILLAGE, SAI KUNG, N.T.","243952","SK","1996-04-0912.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","WO MEI VILLAGE","E000007305","","","NO. 26A WO MEI VILLAGE","BLOCK A ","","2ND FLOOR","2","","","","0","1","Multi - Floor"," AND THE ROOF THEREOVER OF OF ROYAL GARDEN ","3"
"2ND FLOOR & THE ROOF THEREABOVE OF THE BUILDING, SAI KUNG, N.T.","243966","SK","1996-04-1012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," & THE ROOF THEREABOVE OF  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","243995","SK","1996-04-1112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"FLAT B7 ON THE 8TH FLOOR OF SAI KUNG BUILDING, SAI KUNG, N.T.","244048","SK","1996-04-1212.00.00","30","N.T.","SAI KUNG","SK","SAI KUNG ","K-SK / CWB","","","","SAI KUNG BUILDING","E01021","","","","","","8TH FLOOR","8","FLAT B7","B7","U002052631","0","0","Full Mapped - Flat"," ON THE  OF   ","1"
"2ND FLOOR AND ROOF OF BLOCK C AND CAR PARKING SPACES NOS. 4 AND 11 OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244114","SK","1996-04-1512.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","NOS. 4 AND ","BLOCK C ","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF AND CAR PARKING SPACES 11 OF THE BUILDING ERECTED THEREON  ","0"
"FRONT PORTION ON 2ND FLOOR","244115","SK","1996-04-1512.00.00","","","","","","","","","","","","","","","","","2ND FLOOR","2","","","","0","0","No Estate Info","FRONT PORTION ON ","0"
"UNIT ON GROUND FLOOR OF BLOCK 2 AND CAR PARKING SPACE NO. 1 ON GROUND FLOOR OF GREENVIEW VILLAS, SAI KUNG N.T.","244129","SK","1996-04-1612.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","GREENVIEW VILLAS","E00737","","","NO. 1 ON  OF GREENVIEW VILLAS","BLOCK 2","B000036445","GROUND FLOOR","G","UNIT ON","ON","U002046517","0","0","Full Mapped - Floor","  OF  AND CAR PARKING SPACE ","1"
"UNIT ON GROUND FLOOR OF BLOCK 2 AND CAR PARKING SPACE NO. 1 ON GROUND FLOOR OF GREENVIEW VILLAS, SAI KUNG N.T.","244130","SK","1996-04-1612.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","GREENVIEW VILLAS","E00737","","","NO. 1 ON  OF GREENVIEW VILLAS","BLOCK 2","B000036445","GROUND FLOOR","G","UNIT ON","ON","U002046517","0","0","Full Mapped - Floor","  OF  AND CAR PARKING SPACE ","1"
"BLOCK 3 OF VIOLET GARDEN","244131","SK","1996-04-1612.00.00","20","","","SK","","K-SK / CWB","","","","VIOLET GARDEN","E09069","","","","BLOCK 3 ","","","","","","","0","0","Multi - Est","OF ","8"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244141","SK","1996-04-1612.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"GROUND FLOOR OF HOUSE NO. B OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244142","SK","1996-04-1612.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","","HOUSE NO. B ","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF OF THE BUILDING ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244145","SK","1996-04-1612.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244153","SK","1996-04-1712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244159","SK","1996-04-1712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"FLAT B ON 2ND FLOOR AND ROOF OF NO. 54 SHEUNG YEUNG VILLAGE, SAIKUNG, N.T.","244178","SK","1996-04-1712.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","SHEUNG YEUNG","E000000315","","","NO. 54 VILLAGE SHEUNG YEUNG","","","2ND FLOOR","2","FLAT B","B","","0","1","Multi - Flat"," ON  AND ROOF OF ","2"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244179","SK","1996-04-1812.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244198","SK","1996-04-1812.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON.","244207","SK","1996-04-1812.00.00","","","","","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON.","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244215","SK","1996-04-1812.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"BLOCK A4 AND CAR PARKING SPACE NO.1 OF FULLWAY GARDEN, SILVERSTRAND, CLEARWATER BAY, SAI KUNG, N.T.","244690","SK","1996-05-0112.00.00","30","N.T.","SAI KUNG","SK"," CLEAR WATER BAY","K-SK / CWB","","","","FULLWAY GARDEN","E01286","","","NO.1 OF  SILVERSTRAND CLEARWATER BAY FULLWAY GARDEN","BLOCK A4","B000025875","","","","","U001693908","0","0","Full Mapped - Bldg"," AND CAR PARKING SPACE ","1"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244691","SK","1996-05-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"FLAT B4 ON 3RD FLOOR OF KO FU HOUSE, 58-72 FUK MAN ROAD, SAI KUNG, N.T.","244710","SK","1996-05-0112.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","KO FU HOUSE","E10791","",""," 58-72 FUK MAN ROAD","KO FU HOUSE","B000064274","3RD FLOOR","3","FLAT B4","B4","U001985091","0","0","Full Mapped - Flat"," ON  OF   ","1"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244224","SK","1996-04-1812.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244482","SK","1996-04-2512.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"HOUSE NO. 3 OF AEGEAN VILLA, NO. 5 SILVER CAPE ROAD, CLEAR WATER BAY, SAI KUNG, N.T.","244488","SK","1996-04-2512.00.00","30","N.T.","SAI KUNG","SK"," CLEAR WATER BAY","K-SK / CWB","","","","AEGEAN VILLA","E00978","","","NO. 5 SILVER CAPE ROAD","HOUSE 3","B000035846","","","","","U001689203","0","0","Full Mapped - Bldg","OF   CLEAR WATER BAY  ","1"
"FLAT A3 ON 5TH FLOOR OF BLOCK A OF SAI KUNG BUILDING, NO. 42-56 FUK MAN ROAD, SAI KUNG, N.T.","244489","SK","1996-04-2512.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","SAI KUNG BUILDING","E01021","","","NO. 42-56 FUK MAN ROAD","BLOCK A","B000027964","5TH FLOOR","5","FLAT A3","A3","U002052430","0","0","Full Mapped - Flat"," ON  OF  OF    ","1"
"1ST FLOOR AND ROOF OF NO. 20 SAN KING TERRACE, SAI KUNG, N.T.","244724","SK","1996-05-0212.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","SAN KING TERRACE","E000015825","","","NO. 20 SAN KING TERRACE","22 SAN KING TERRACE (DD215L 678 S.C)","B000082911","1ST FLOOR","1","","","U002576494","0","1","Full Mapped - Floor"," AND ROOF OF ","1"
"2ND FLOOR AND ROOF OF BLOCK C, NO. 18A TAI WAN, SAI KUNG, N.T.","244727","SK","1996-05-0212.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","TAI WAN","E000000329","","","NO. 18A TAI WAN","BLOCK C (DD216L 825)","B000045521","2ND FLOOR","2","","","U002054477","0","1","Full Mapped - Floor"," AND ROOF OF ","1"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244731","SK","1996-05-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244732","SK","1996-05-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244251","SK","1996-04-1912.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","244252","SK","1996-04-1912.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
